var_0;var_1;var_2;var_3;var_4;var_5;var_6;err_ds_0;err_ds_1;err_ds_2;err_ds_3;err_ds_4;err_ds_5;err_ds_6;err_ds_7;err_ds_8;err_ds_9;err_ds_10;err_ds_11;err_ds_12;err_ds_13;err_ds_14;err_ds_15;err_ds_16;err_ds_17;err_ds_18;err_ds_19;err_ds_20;err_ds_21;err_ds_22;err_ds_23;err_ds_24;err_ds_25;err_ds_26;err_ds_27;err_ds_28;err_ds_29;err_mean;err_std
20;31;40;10;52;52;35;1.2570247721002995e-05;0.010744200974955551;1.951240869046931e-05;9.298701717619051e-06;4.698397640562875e-05;8.049692012380794e-05;2.0082702061226504e-06;6.913503744300172e-06;2.019681955398686e-05;0.00016206010651608225;0.00014155879959288576;5.0551452044581994e-05;1.2026034019785312e-05;1.1594234929567866e-05;0.005179400862280022;1.4016100378106892e-06;8.64911847241487e-05;7.287063915887505e-06;0.00011696933291274529;2.8888800454857584e-05;2.7277716277196227e-06;1.6719106064293938e-05;3.7812197782277962e-06;2.7680874695559262e-05;0.0026297494112387464;0.05768531788084372;6.882315694672875e-06;0.00015338090638471817;7.275731185298332e-07;2.6309373051997373e-06;0.002575666976709941;0.010452845429011806
32;51;23;31;33;27;25;4.211588955911053e-08;9.374954572539251e-05;7.977877929093249e-09;6.423139410519178e-08;1.0497655531706627e-07;4.677370796966162e-07;7.839475042593612e-08;2.8766160543319993e-07;4.975913907699284e-07;2.421773597557643e-07;7.216841248530635e-08;2.1327848559487874e-06;7.904602525070786e-08;7.126988539252749e-08;2.9156610122789998e-05;1.4843363688929322e-08;4.1753004493993765e-07;2.206322485342759e-06;8.490872695405779e-05;1.503669725186224e-06;7.774953621805046e-08;2.7685855407721214e-07;3.6761181114681374e-08;3.221879353534209e-07;1.293922729479639e-06;0.0033494195088542515;3.7178623861337545e-07;3.6739838829682776e-07;4.1994221814237664e-08;9.463724707292772e-07;0.0001189753307204472;0.0006003005157464996
17;16;45;35;35;7;14;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
42;48;48;10;28;5;42;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
35;5;51;21;44;24;47;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
11;48;3;3;4;44;49;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
4;20;11;12;43;13;23;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
16;46;51;29;51;45;14;0.021709525856431527;80.81138181913303;1000.0;0.0076605079691610106;0.10836080848558909;0.004876694413139534;0.11772554339032211;0.9031818725431281;0.48911495206179684;0.252659745622723;0.2837918965699093;0.2020174749244633;0.017051868821263725;0.04526570753685759;1000.0;0.008421436849011714;0.27303602262819093;0.24596227623405736;1000.0;2.2518711590272553;0.01648212792394339;0.06347391666564414;0.011421394874868025;0.1777908952497003;1000.0;1000.0;0.026706953208069116;0.027089312174596893;0.012188484947635006;0.043457646236394934;169.54742333477824;371.66952753151224
6;10;3;6;26;6;36;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
21;44;43;39;43;52;51;1.7915024313947321e-06;4.453790750502402e-05;1.9585226662199233e-05;4.566196720442906e-07;3.144990315061765e-07;4.1567632688839135e-06;1.946042143596888e-06;8.599413038920159e-07;1.484939411406933e-06;1.961149357950785e-05;1.3833125282971415e-05;7.940660663882058e-05;1.08948874348586e-06;3.0954746017611475e-06;0.0011075742900032875;1.884793558029314e-07;1.1267486112296615e-06;7.2902108572428376e-06;1.4344268413238488e-05;2.897729086136737e-05;1.3110854991850153e-07;1.6708365020140812e-05;7.645059160012093e-07;1.7779026392959572e-06;3.956758191711665e-05;0.019559490637966914;6.873732490449383e-06;3.7042902079375405e-06;1.6286671655776161e-07;1.9136161389518754e-06;0.0006994255175313982;0.00350778568873458
27;18;19;45;8;42;38;6.347447946032997e-05;0.06184641175253466;0.0037654642872000737;5.001540266628055e-05;0.0012744305440243783;1.1292525611596998e-05;0.0006963363448845331;0.000616061873492469;8.099055389108124e-05;0.001093872097123201;0.00046483087974675413;3.71500057367763e-05;1.243884611649311e-05;2.8449647267164232e-05;0.008783168150319957;9.377102760648466e-06;0.0023444667569702555;3.642540171565346e-05;0.008121991515144924;0.008840290799853611;6.095638327901081e-05;0.0003125544045659229;6.77707887782724e-05;0.0005113863777694767;0.1642877244134345;1.3209632326106355;3.303412196175825e-06;0.0019593557894249723;3.970680654880532e-05;0.00014900990606084421;0.05288439799530715;0.23749425226424709
11;43;39;14;11;27;11;1000.0;1000.0;963.2563788977268;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.5577541813361232;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1.7605182987115693;1000.0;1000.0;1000.0;932.1858217125924;248.91458213224675
14;23;35;42;40;48;9;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
16;14;4;6;27;21;10;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
22;12;25;34;13;44;14;0.06393556783766523;1000.0;1000.0;0.20895262958749208;2.8334042299621256;0.9866034287797774;1000.0;8.414162740270829;1000.0;1000.0;0.755361102700212;1000.0;0.2574991485377076;0.036670362788568826;1000.0;0.022514140099177158;1000.0;1000.0;1000.0;81.04490470573771;0.0929412375475183;1.9945253129443274;1000.0;1000.0;1000.0;1000.0;0.026706953208069116;1000.0;0.026066650696956465;11.014099583886072;503.59261159315275;496.6087832412726
26;14;22;17;47;41;8;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;0.0
